2020-06-06 12:33:58,"b""https://t.co/wFCdRhsJ3E\n.\n.\n.\n.\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81\n.\n.\n.\nTiktoker's roast he plz do share like and subscribe\xe2\x80\xa6 https://t.co/zXEJ3uK2gX"""
2020-06-06 12:29:42,"b""#CarryMinati's #Yalgaar is out. To know what #Twitterati have to say about it, read the article of our blogger\xe2\x80\xa6 https://t.co/oR2WTjg2Ey"""
2020-06-06 12:27:18,b'Carryminati  fans follow me lets challenges 10k goal please follow me lets power #carryminati #Yalgaar #pregnant\xe2\x80\xa6 https://t.co/cptJvdzXyY'
2020-06-06 12:23:45,b'Watch Dogs PS4 Gameplay Walkthrough Episode#2 - Big Brother\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x94\xa5\xf0\x9f\x92\xaf\n\nhttps://t.co/BHn0PHWfBC\n\n#games #games\xe2\x80\xa6 https://t.co/YdarLio4kG'
2020-06-06 12:22:52,b'Lets challenges carry fans \nFollow me  #carryminati #carryminati #Yalgaar #pregnant #DawoodIbrahim #DawoodIbrahim\xe2\x80\xa6 https://t.co/2hSlTUeYUI'
2020-06-06 12:21:39,"b""RT @roses97730379: My new song and video on Youtube \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x8e\xa7\xf0\x9f\x8e\xbc\xf0\x9f\x8e\xa4\xf0\x9f\x8e\xb9\xf0\x9f\xa5\x81\xf0\x9f\x8e\xb8\xe2\x9d\xa4\xef\xb8\x8f\nhttps://t.co/SG2Kb0NODF\nI can't play guitar | RosesAreBlue\n#TwitterASongTitl\xe2\x80\xa6"""
2020-06-06 12:10:57,b'Tiktok vs YouTube who is best \n#Yalgaar\n#carryminati #MeToo #lockdownlessons #YoutubeVsTikTok #tiktokbanindia #YoutubeIndia #contest #Poll'
2020-06-06 12:03:33,b'Hello friends subscribe my YouTube channel #MeToo #Yalgaar #carryminati #YoutubeVsTikTok'
2020-06-06 12:00:15,"b'ROPOSO App ( Made In India )\nWhatsApp Status , Video Sharing App.\n1 )- Earning App ( ROPOSO )\n2 )- 10,000 coins = 1\xe2\x80\xa6 https://t.co/nHRMeFBz8F'"
2020-06-06 11:54:24,"b""Wowww!!\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d \n\nCarryMinati returns to the YouTube vs TikTok controversy with rap song 'Yalgaar'\n\n#carryminati\xe2\x80\xa6 https://t.co/EyXG10ixtc"""
